SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
Dream Weavers Realty Consultants Pvt Ltd,AGENT,3 , 76.12 L,1275 ,Aushapur,Under ConstructionConstruction Status,"5,970 / sq ft"
seller,OWNER,2 , 1.85 Cr,1800 ,Malakpet,Ready to moveConstruction Status,"10,277 / sq ft"
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,"4,285 / sq ft"
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,"4,285 / sq ft"
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,"4,285 / sq ft"
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,"4,285 / sq ft"
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,"4,285 / sq ft"
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,"4,285 / sq ft"
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,"4,285 / sq ft"
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,"4,285 / sq ft"
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,"4,285 / sq ft"
seller,OWNER,2 , 1.85 Cr,1800 ,Malakpet,Ready to moveConstruction Status,"10,277 / sq ft"
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,"7,105 / sq ft"
seller,OWNER,2 , 55 L,1260 ,Manikonda,Ready to moveConstruction Status,"4,365 / sq ft"
seller,OWNER,2 , 55 L,1260 ,Manikonda,Ready to moveConstruction Status,"4,365 / sq ft"
seller,OWNER,2 , 55 L,1260 ,Manikonda,Ready to moveConstruction Status,"4,365 / sq ft"
seller,OWNER,3 , 70 L,1545 ,Manikonda,Ready to moveConstruction Status,"4,530 / sq ft"
seller,OWNER,3 , 70 L,1545 ,Manikonda,Ready to moveConstruction Status,"4,530 / sq ft"
seller,OWNER,2 , 55 L,1260 ,Manikonda,Ready to moveConstruction Status,"4,365 / sq ft"
seller,OWNER,2 , 55 L,1260 ,Manikonda,Ready to moveConstruction Status,"4,365 / sq ft"
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,"7,105 / sq ft"
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,"7,105 / sq ft"
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,"7,105 / sq ft"
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,"7,105 / sq ft"
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,"7,105 / sq ft"
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,"7,105 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,4 , 72 L,1760 ,Balapur,Under ConstructionConstruction Status,"4,090 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 56 L,1212 ,Nagole,Ready to moveConstruction Status,"4,620 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,"3,700 / sq ft"
